"node1","rel","node2"
"RAbWbJ","->","RAYJe1ruxz"
"RAeRSy","->","RAGo62Hb_B"
"RABzhu","->","RAjk3YoNyd"
"RAmG2b","->","RA5rRFy9eD"
"RAyg4U","->","RAsdV8EQ1q"
"RAgoIx","->","RATc9O9tCd"
"RA22JA","->","RAPLWOEA5t"
"RAMgTh","->","RAWcrMY8mn"
"RAXkuX","->","RAIWvdnjqm"
"RAIJyz","->","RAGgV-nRMW"
"RASPvP","->","RAGgV-nRMW"
"RAoo8E","->","RASZZ5T1Ca"
"RAxBBJ","->","RAxxJWyH8O"
"RA1FoH","->","RAmfrSLt-W"
"RAn15v","->","RAWCmrfeUU"
